title,price,rating_stars,product_url,image_url
Lenovo V510 Bl...,$484.23,0,/test-sites/e-commerce/static/product/87,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,$485.9,0,/test-sites/e-commerce/static/product/88,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,$487.8,0,/test-sites/e-commerce/static/product/89,/images/test-sites/e-commerce/items/cart2.png
Acer Swift 1 S...,$488.64,0,/test-sites/e-commerce/static/product/90,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,$494.71,0,/test-sites/e-commerce/static/product/91,/images/test-sites/e-commerce/items/cart2.png
Dell Vostro 15...,$497.17,0,/test-sites/e-commerce/static/product/92,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,$498.23,0,/test-sites/e-commerce/static/product/93,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,$1096.02,0,/test-sites/e-commerce/static/product/94,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,$1098.42,0,/test-sites/e-commerce/static/product/95,/images/test-sites/e-commerce/items/cart2.png
MSI GL72M 7RDX,$1099,0,/test-sites/e-commerce/static/product/96,/images/test-sites/e-commerce/items/cart2.png
MSI GL72M 7RDX,$1099,0,/test-sites/e-commerce/static/product/97,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1101.83,0,/test-sites/e-commerce/static/product/98,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1102.66,0,/test-sites/e-commerce/static/product/99,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1110.14,0,/test-sites/e-commerce/static/product/100,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,$1112.91,0,/test-sites/e-commerce/static/product/101,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,$1114.55,0,/test-sites/e-commerce/static/product/102,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,$1123.87,0,/test-sites/e-commerce/static/product/103,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 7...,$1123.87,0,/test-sites/e-commerce/static/product/104,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,$1124.2,0,/test-sites/e-commerce/static/product/105,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1133.82,0,/test-sites/e-commerce/static/product/106,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,$1133.91,0,/test-sites/e-commerce/static/product/107,/images/test-sites/e-commerce/items/cart2.png
Asus AsusPro A...,$1139.54,0,/test-sites/e-commerce/static/product/108,/images/test-sites/e-commerce/items/cart2.png
Acer Nitro 5 A...,$1140.62,0,/test-sites/e-commerce/static/product/109,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1143.4,0,/test-sites/e-commerce/static/product/110,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,$1144.2,0,/test-sites/e-commerce/static/product/111,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1144.4,0,/test-sites/e-commerce/static/product/112,/images/test-sites/e-commerce/items/cart2.png
MSI GP62M 7RDX...,$1149,0,/test-sites/e-commerce/static/product/113,/images/test-sites/e-commerce/items/cart2.png
Lenovo Yoga 72...,$1149.73,0,/test-sites/e-commerce/static/product/114,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,$1154.04,0,/test-sites/e-commerce/static/product/115,/images/test-sites/e-commerce/items/cart2.png
Acer TravelMat...,$1170.1,0,/test-sites/e-commerce/static/product/116,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1178.19,0,/test-sites/e-commerce/static/product/117,/images/test-sites/e-commerce/items/cart2.png
MSI GS63 7RD S...,$1179,0,/test-sites/e-commerce/static/product/118,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1187.88,0,/test-sites/e-commerce/static/product/119,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,$1187.98,0,/test-sites/e-commerce/static/product/120,/images/test-sites/e-commerce/items/cart2.png
MSI GL62M 7REX,$1199,0,/test-sites/e-commerce/static/product/121,/images/test-sites/e-commerce/items/cart2.png
MSI GL62M 7REX...,$1199,0,/test-sites/e-commerce/static/product/122,/images/test-sites/e-commerce/items/cart2.png
Lenovo Yoga 91...,$1199.73,0,/test-sites/e-commerce/static/product/123,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,$1203.41,0,/test-sites/e-commerce/static/product/124,/images/test-sites/e-commerce/items/cart2.png
Lenovo IdeaPad...,$1212.16,0,/test-sites/e-commerce/static/product/125,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,$1221.58,0,/test-sites/e-commerce/static/product/126,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,$1235.49,0,/test-sites/e-commerce/static/product/127,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1238.37,0,/test-sites/e-commerce/static/product/128,/images/test-sites/e-commerce/items/cart2.png
Asus ZenBook U...,$1239.2,0,/test-sites/e-commerce/static/product/129,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1259,0,/test-sites/e-commerce/static/product/130,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,$1260.13,0,/test-sites/e-commerce/static/product/131,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1271.06,0,/test-sites/e-commerce/static/product/132,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,$1273.11,0,/test-sites/e-commerce/static/product/133,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,$1294.74,0,/test-sites/e-commerce/static/product/134,/images/test-sites/e-commerce/items/cart2.png
MSI GL62VR 7RF...,$1299,0,/test-sites/e-commerce/static/product/135,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1310.39,0,/test-sites/e-commerce/static/product/136,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,$1326.83,0,/test-sites/e-commerce/static/product/137,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,$1333,0,/test-sites/e-commerce/static/product/138,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1337.28,0,/test-sites/e-commerce/static/product/139,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1338.37,0,/test-sites/e-commerce/static/product/140,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,$1341.22,0,/test-sites/e-commerce/static/product/141,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,$1347.78,0,/test-sites/e-commerce/static/product/142,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,$1349.23,0,/test-sites/e-commerce/static/product/143,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,$1362.24,0,/test-sites/e-commerce/static/product/144,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,$1366.32,0,/test-sites/e-commerce/static/product/145,/images/test-sites/e-commerce/items/cart2.png
Asus ASUSPRO B...,$1381.13,0,/test-sites/e-commerce/static/product/146,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,$1399,0,/test-sites/e-commerce/static/product/147,/images/test-sites/e-commerce/items/cart2.png
