UPC,Book Title,Author,Original Price (Books.toscrape.com),Author (from Google Books API),ISBN,Competitor Price (Booksrun.com),Booksrun Link,Original Price (Float),Competitor Price (Float),Absolute Price Difference,Percentage Price Difference,Suggested Price Action (Dynamic)
c8f7f0cb1abb9cac,Reasons to Stay Alive,N/A,Â£26.41,Matt Haig,9780143128724,No offers available,https://booksrun.com/search?q=9780143128724,26.41,,,,No Action (Price not available from one/both sources)
b12b89017878a60d,Private Paris (Private #10),N/A,Â£47.61,Janice Martana,,,,47.61,,,,No Action (Price not available from one/both sources)
c27f6e1f185b0383,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,N/A,Â£23.11,"Lucy Sheridan, Jo Westwood",9781781806838,No offers available,https://booksrun.com/search?q=9781781806838,23.11,,,,No Action (Price not available from one/both sources)
acddfeab2a407640,Without Borders (Wanderlove #1),N/A,Â£45.07,Amanda Heger,9781682300541,No offers available,https://booksrun.com/search?q=9781682300541,45.07,,,,No Action (Price not available from one/both sources)
3ecb690d1542c568,When We Collided,N/A,Â£31.77,Emery Lord,9781619638457,No offers available,https://booksrun.com/search?q=9781619638457,31.77,,,,No Action (Price not available from one/both sources)
8d455c7539795d2a,"We Love You, Charlie Freeman",N/A,Â£50.27,Kaitlyn Greenidge,9781616206079,No offers available,https://booksrun.com/search?q=9781616206079,50.27,,,,No Action (Price not available from one/both sources)
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,N/A,Â£14.27,北山 直洋,9784295603344,No offers available,https://booksrun.com/search?q=9784295603344,14.27,,,,No Action (Price not available from one/both sources)
d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",N/A,Â£44.18,Nathanael Johnson,9781623363857,No offers available,https://booksrun.com/search?q=9781623363857,44.18,,,,No Action (Price not available from one/both sources)
7ae099f3898e0209,Unicorn Tracks,N/A,Â£18.78,Penelope Gwynne,9781250759405,No offers available,https://booksrun.com/search?q=9781250759405,18.78,,,,No Action (Price not available from one/both sources)
9a9d6e9bc555731e,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",N/A,Â£25.52,Richard L Currier,9781628727760,No offers available,https://booksrun.com/search?q=9781628727760,25.52,,,,No Action (Price not available from one/both sources)
09555be379ad9253,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),N/A,Â£16.28,CLAMP,9781682332504,No offers available,https://booksrun.com/search?q=9781682332504,16.28,,,,No Action (Price not available from one/both sources)
7858914fad68493c,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,N/A,Â£31.12,Douglas Rushkoff,9780241970201,No offers available,https://booksrun.com/search?q=9780241970201,31.12,,,,No Action (Price not available from one/both sources)
51653ef291ab7ddc,This One Summer,N/A,Â£19.49,Mariko Tamaki,9780606383585,No offers available,https://booksrun.com/search?q=9780606383585,19.49,,,,No Action (Price not available from one/both sources)
709822d0b5bcb7f4,Thirst,N/A,Â£17.27,"Barbara J. Rolls, Edmund T. Rolls",9780521229180,No offers available,https://booksrun.com/search?q=9780521229180,17.27,,,,No Action (Price not available from one/both sources)
4eed62cf5f8d8edf,The Torch Is Passed: A Harding Family Story,N/A,Â£19.09,Bill Powers,9781682226780,No offers available,https://booksrun.com/search?q=9781682226780,19.09,,,,No Action (Price not available from one/both sources)
b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,N/A,Â£56.13,Brian Farrey,9781616206796,No offers available,https://booksrun.com/search?q=9781616206796,56.13,,,,No Action (Price not available from one/both sources)
142d767a56a9254d,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",N/A,Â£56.41,Ree Drummond,9780062225252,No offers available,https://booksrun.com/search?q=9780062225252,56.41,,,,No Action (Price not available from one/both sources)
5ee94540d0749ea0,The Past Never Ends,N/A,Â£56.50,John Richetti,9781134656424,No offers available,https://booksrun.com/search?q=9781134656424,56.5,,,,No Action (Price not available from one/both sources)
cedf82b5086e4691,The Natural History of Us (The Fine Art of Pretending #2),N/A,Â£45.22,N/A,,,,45.22,,,,No Action (Price not available from one/both sources)
7d385d34d12e60ff,The Nameless City (The Nameless City #1),N/A,Â£38.16,,,,,38.16,,,,No Action (Price not available from one/both sources)
d01ac97e2b8947c2,The Murder That Never Was (Forensic Instincts #5),N/A,Â£54.11,,,,,54.11,,,,No Action (Price not available from one/both sources)
aadee1c326d286e3,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,N/A,Â£42.96,,,,,42.96,,,,No Action (Price not available from one/both sources)
31075275518532d7,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",N/A,Â£23.89,,,,,23.89,,,,No Action (Price not available from one/both sources)
0da9aa9d24677fc0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,N/A,Â£16.77,,,,,16.77,,,,No Action (Price not available from one/both sources)
8c9e6bf2467d740d,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",N/A,Â£20.59,,,,,20.59,,,,No Action (Price not available from one/both sources)
acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,N/A,Â£37.13,,,,,37.13,,,,No Action (Price not available from one/both sources)
a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,N/A,Â£56.06,,,,,56.06,,,,No Action (Price not available from one/both sources)
bd261725b99f5983,The Death of Humanity: and the Case for Life,N/A,Â£58.11,,,,,58.11,,,,No Action (Price not available from one/both sources)
43c6a960757cf559,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",N/A,Â£49.05,,,,,49.05,,,,No Action (Price not available from one/both sources)
80cfab6bcff3a244,The Art Forger,N/A,Â£40.76,,,,,40.76,,,,No Action (Price not available from one/both sources)
a3d2a4250807f1e9,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,N/A,Â£19.73,,,,,19.73,,,,No Action (Price not available from one/both sources)
7d6d2a6c0276f81b,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,N/A,Â£32.24,,,,,32.24,,,,No Action (Price not available from one/both sources)
87b0615b6e1f4d7b,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,N/A,Â£41.83,,,,,41.83,,,,No Action (Price not available from one/both sources)
e6af5bf1163c1151,Soul Reader,N/A,Â£39.58,,,,,39.58,,,,No Action (Price not available from one/both sources)
6f78a0d744c35456,Security,N/A,Â£39.25,,,,,39.25,,,,No Action (Price not available from one/both sources)
c849f0b2f5d6a742,"Saga, Volume 6 (Saga (Collected Editions) #6)",N/A,Â£25.02,,,,,25.02,,,,No Action (Price not available from one/both sources)
53a3d11bb568cc8b,"Saga, Volume 5 (Saga (Collected Editions) #5)",N/A,Â£51.04,,,,,51.04,,,,No Action (Price not available from one/both sources)
d7310206583a54b6,Reskilling America: Learning to Labor in the Twenty-First Century,N/A,Â£19.83,,,,,19.83,,,,No Action (Price not available from one/both sources)
c82a3e358c773c73,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",N/A,Â£50.40,,,,,50.4,,,,No Action (Price not available from one/both sources)
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",N/A,Â£13.61,,,,,13.61,,,,No Action (Price not available from one/both sources)
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),N/A,Â£13.34,,,,,13.34,,,,No Action (Price not available from one/both sources)
e80f8e518b300dfe,"Pop Gun War, Volume 1: Gift",N/A,Â£18.97,,,,,18.97,,,,No Action (Price not available from one/both sources)
7392c0032f92d816,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",N/A,Â£36.28,,,,,36.28,,,,No Action (Price not available from one/both sources)
9429b4d59c537af5,Patience,N/A,Â£10.16,,,,,10.16,,,,No Action (Price not available from one/both sources)
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",N/A,Â£15.44,,,,,15.44,,,,No Action (Price not available from one/both sources)
11809b1d323b3057,orange: The Complete Collection 1 (orange: The Complete Collection #1),N/A,Â£48.41,,,,,48.41,,,,No Action (Price not available from one/both sources)
9ffa38d3b832433a,Online Marketing for Busy Authors: A Step-By-Step Guide,N/A,Â£46.35,,,,,46.35,,,,No Action (Price not available from one/both sources)
b757c0c361e689ce,On a Midnight Clear,N/A,Â£14.07,,,,,14.07,,,,No Action (Price not available from one/both sources)
3c346ab1e76ae1f6,Obsidian (Lux #1),N/A,Â£14.86,,,,,14.86,,,,No Action (Price not available from one/both sources)
784bc2279baa878d,My Paris Kitchen: Recipes and Stories,N/A,Â£33.37,,,,,33.37,,,,No Action (Price not available from one/both sources)
fa9610a50a1bf149,Masks and Shadows,N/A,Â£56.40,,,,,56.4,,,,No Action (Price not available from one/both sources)
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",N/A,Â£14.02,,,,,14.02,,,,No Action (Price not available from one/both sources)
460089f796fb3f82,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",N/A,Â£46.91,,,,,46.91,,,,No Action (Price not available from one/both sources)
b6ee99bcf06fc91f,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",N/A,Â£45.61,,,,,45.61,,,,No Action (Price not available from one/both sources)
57e5a4d515c8ce44,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),N/A,Â£19.92,,,,,19.92,,,,No Action (Price not available from one/both sources)
7b75cc7f223791f4,"Layered: Baking, Building, and Styling Spectacular Cakes",N/A,Â£40.11,,,,,40.11,,,,No Action (Price not available from one/both sources)
228f74b74f3a08ae,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),N/A,Â£53.90,,,,,53.9,,,,No Action (Price not available from one/both sources)
18ad3ed896c7ce05,Join,N/A,Â£35.67,,,,,35.67,,,,No Action (Price not available from one/both sources)
b136b1b180ca753a,In the Country We Love: My Family Divided,N/A,Â£22.00,,,,,22.0,,,,No Action (Price not available from one/both sources)
e4f74c16de34d440,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,N/A,Â£57.36,,,,,57.36,,,,No Action (Price not available from one/both sources)
8d4eefad7a2b3915,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",N/A,Â£29.17,,,,,29.17,,,,No Action (Price not available from one/both sources)
1c89ae5bb804e4de,I am a Hero Omnibus Volume 1,N/A,Â£54.63,,,,,54.63,,,,No Action (Price not available from one/both sources)
a6f99b9e687f9d46,How to Be Miserable: 40 Strategies You Already Use,N/A,Â£46.03,,,,,46.03,,,,No Action (Price not available from one/both sources)
2a97cffe61c3c4c7,Her Backup Boyfriend (The Sorensen Family #1),N/A,Â£33.97,,,,,33.97,,,,No Action (Price not available from one/both sources)
f2df3bb043a8abb0,"Giant Days, Vol. 2 (Giant Days #5-8)",N/A,Â£22.11,,,,,22.11,,,,No Action (Price not available from one/both sources)
9beb96a2300109d7,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,N/A,Â£29.69,,,,,29.69,,,,No Action (Price not available from one/both sources)
9e28048cea8d41f7,First and First (Five Boroughs #3),N/A,Â£15.97,,,,,15.97,,,,No Action (Price not available from one/both sources)
7add3f8e49ec0826,Fifty Shades Darker (Fifty Shades #2),N/A,Â£21.96,,,,,21.96,,,,No Action (Price not available from one/both sources)
311c0dd0e354a33e,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,N/A,Â£54.35,,,,,54.35,,,,No Action (Price not available from one/both sources)
fce19f9b4a943f22,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",N/A,Â£37.97,,,,,37.97,,,,No Action (Price not available from one/both sources)
09b6cc87e62c2c58,Danganronpa Volume 1,N/A,Â£51.99,,,,,51.99,,,,No Action (Price not available from one/both sources)
7267864328ae8b9d,Crown of Midnight (Throne of Glass #2),N/A,Â£43.29,,,,,43.29,,,,No Action (Price not available from one/both sources)
8754c83ab2a7ae71,"Codename Baboushka, Volume 1: The Conclave of Death",N/A,Â£36.72,,,,,36.72,,,,No Action (Price not available from one/both sources)
7b599c8bfcdd8d30,Camp Midnight,N/A,Â£17.08,,,,,17.08,,,,No Action (Price not available from one/both sources)
bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,N/A,Â£29.14,,,,,29.14,,,,No Action (Price not available from one/both sources)
5ceb951f629700a2,Burning,N/A,Â£28.81,,,,,28.81,,,,No Action (Price not available from one/both sources)
74baabfc8fd84b38,Bossypants,N/A,Â£49.46,,,,,49.46,,,,No Action (Price not available from one/both sources)
bdf415fd484ea8a7,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",N/A,Â£37.92,,,,,37.92,,,,No Action (Price not available from one/both sources)
6d5300b2d8f37e07,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",N/A,Â£28.09,,,,,28.09,,,,No Action (Price not available from one/both sources)
38d45839cb1c83c1,Algorithms to Live By: The Computer Science of Human Decisions,N/A,Â£30.81,,,,,30.81,,,,No Action (Price not available from one/both sources)
70ed59f194b3c556,A World of Flavor: Your Gluten Free Passport,N/A,Â£42.95,,,,,42.95,,,,No Action (Price not available from one/both sources)
8a380641491d43ed,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",N/A,Â£56.76,,,,,56.76,,,,No Action (Price not available from one/both sources)
f733e8c19d40ec2e,A Murder in Time,N/A,Â£16.64,,,,,16.64,,,,No Action (Price not available from one/both sources)
3a6fb983e2554023,A Flight of Arrows (The Pathfinders #2),N/A,Â£55.53,,,,,55.53,,,,No Action (Price not available from one/both sources)
842790dfaa937484,A Fierce and Subtle Poison,N/A,Â£28.13,,,,,28.13,,,,No Action (Price not available from one/both sources)
01d2001ac1e6f8a3,A Court of Thorns and Roses (A Court of Thorns and Roses #1),N/A,Â£52.37,,,,,52.37,,,,No Action (Price not available from one/both sources)
e4ac92d89b946781,(Un)Qualified: How God Uses Broken People to Do Big Things,N/A,Â£54.00,,,,,54.0,,,,No Action (Price not available from one/both sources)
796c87ddbbaaf8c5,You Are What You Love: The Spiritual Power of Habit,N/A,Â£21.87,,,,,21.87,,,,No Action (Price not available from one/both sources)
9270575728a13a61,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",N/A,Â£43.30,,,,,43.3,,,,No Action (Price not available from one/both sources)
b8736690cf263a3c,Tuesday Nights in 1980,N/A,Â£21.04,,,,,21.04,,,,No Action (Price not available from one/both sources)
d7d6d50c1e3d0b81,Tracing Numbers on a Train,N/A,Â£41.60,,,,,41.6,,,,No Action (Price not available from one/both sources)
590a9cccf7db9f7d,Throne of Glass (Throne of Glass #1),N/A,Â£35.07,,,,,35.07,,,,No Action (Price not available from one/both sources)
de3f25248ba0789f,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,N/A,Â£59.64,,,,,59.64,,,,No Action (Price not available from one/both sources)
bc2a85fd35fdc7bd,Thirteen Reasons Why,N/A,Â£52.72,,,,,52.72,,,,No Action (Price not available from one/both sources)
37c0cb19713d8dda,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,N/A,Â£58.08,,,,,58.08,,,,No Action (Price not available from one/both sources)
623e1a180426039b,The Wedding Dress,N/A,Â£24.12,,,,,24.12,,,,No Action (Price not available from one/both sources)
fd3a622648667296,The Vacationers,N/A,Â£42.15,,,,,42.15,,,,No Action (Price not available from one/both sources)
3bebf34ee9330cbd,The Third Wave: An Entrepreneurâs Vision of the Future,N/A,Â£12.61,,,,,12.61,,,,No Action (Price not available from one/both sources)
f5a92cff83897d48,The Stranger,N/A,Â£17.44,,,,,17.44,,,,No Action (Price not available from one/both sources)
d6361d16212664ed,The Shadow Hero (The Shadow Hero),N/A,Â£33.14,,,,,33.14,,,,No Action (Price not available from one/both sources)
961f18db4f138211,The Secret (The Secret #1),N/A,Â£27.37,,,,,27.37,,,,No Action (Price not available from one/both sources)
0651062381f0636a,The Regional Office Is Under Attack!,N/A,Â£51.36,,,,,51.36,,,,No Action (Price not available from one/both sources)
e98a4efa85070c2f,The Psychopath Test: A Journey Through the Madness Industry,N/A,Â£36.00,,,,,36.0,,,,No Action (Price not available from one/both sources)
790ef197c8f236f5,The Project,N/A,Â£10.65,,,,,10.65,,,,No Action (Price not available from one/both sources)
8ec14b1576cb7cb5,The Power of Now: A Guide to Spiritual Enlightenment,N/A,Â£43.54,,,,,43.54,,,,No Action (Price not available from one/both sources)
209adad1015af86f,The Omnivore's Dilemma: A Natural History of Four Meals,N/A,Â£38.21,,,,,38.21,,,,No Action (Price not available from one/both sources)
e4c7f3487d17fd42,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,N/A,Â£37.34,,,,,37.34,,,,No Action (Price not available from one/both sources)
c7b5183f4d1d4efe,The Murder of Roger Ackroyd (Hercule Poirot #4),N/A,Â£44.10,,,,,44.1,,,,No Action (Price not available from one/both sources)
99ff4cc6491e8f5c,The Mistake (Off-Campus #2),N/A,Â£43.29,,,,,43.29,,,,No Action (Price not available from one/both sources)
08db62f24627e71f,The Matchmaker's Playbook (Wingmen Inc. #1),N/A,Â£55.85,,,,,55.85,,,,No Action (Price not available from one/both sources)
e28e330cbdf01126,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,N/A,Â£37.60,,,,,37.6,,,,No Action (Price not available from one/both sources)
abeafe151a587d3b,The Long Shadow of Small Ghosts: Murder and Memory in an American City,N/A,Â£10.97,,,,,10.97,,,,No Action (Price not available from one/both sources)
eac1a180047ad54e,The Kite Runner,N/A,Â£41.82,,,,,41.82,,,,No Action (Price not available from one/both sources)
9287e238d7c3b06e,The House by the Lake,N/A,Â£36.95,,,,,36.95,,,,No Action (Price not available from one/both sources)
2dbb7ec08cdd7f3c,The Glittering Court (The Glittering Court #1),N/A,Â£44.28,,,,,44.28,,,,No Action (Price not available from one/both sources)
e956d67c9bcc5809,The Girl on the Train,N/A,Â£55.02,,,,,55.02,,,,No Action (Price not available from one/both sources)
42d0d7c92b75fc1c,The Genius of Birds,N/A,Â£17.24,,,,,17.24,,,,No Action (Price not available from one/both sources)
d6670dfe3e7b42bd,The Emerald Mystery,N/A,Â£23.15,,,,,23.15,,,,No Action (Price not available from one/both sources)
96a38e7c813d8f1d,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,N/A,Â£41.25,,,,,41.25,,,,No Action (Price not available from one/both sources)
efc3768127714ec3,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,N/A,Â£32.00,,,,,32.0,,,,No Action (Price not available from one/both sources)
dd047728de72ad62,The Artist's Way: A Spiritual Path to Higher Creativity,N/A,Â£38.49,,,,,38.49,,,,No Action (Price not available from one/both sources)
